Record Number,Common Name,Code,Latitude,Longitude,GPS certainty_meters,Locality,Elev_meters,Date,Observer,Breeding Evidence,Observation,Nest Species_Structure,Nest hgt meters,Comments,Sources,Photo,Photo Link,Scientific Name,
2331,House Finch,HOFI,34.77752,-120.5005008,30,"N VAFB, San Antonio Ck nr Hwy 1",62,14-Jun-2008,"Holmgren, M.",Fledgling under Parental Care,fledgling with short tail and downy tufts under parental care,,,SA 72,Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2332,hummingbird sp.,HUMM,34.7801336,-120.5128875,10,"N VAFB, San Antonio Creek",48,14-Jun-2008,"Holmgren, M.",Nestling in Nest,nest with 2 nestlings,willow,2,"nr Richmond Rd, SA 67",Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2333,Lawrence's Goldfinch,LAGO,34.7071596,-119.6366788,200,"Sisquoc River, between Upper and Lower Bear",1580,14-Jun-2008,"Lentz, J.",Nestling in Nest,"nest with 2 ads; nest appeared complete or nearly so, but stage unclear",,,"With Kisner, D.; Kisner, J.",Lentz Big Pine Mtn notes 2008,,,#REF!,
2334,Mourning Dove,MODO,34.7806454,-120.5079445,10,"N VAFB, San Antonio Ck nr Grant x Richmond Rds",53,14-Jun-2008,"Holmgren, M.",No suitable category,ad attempting to return to site nr observer may have represented nesting attempt,,,SA 69,Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2335,Nuttall's Woodpecker,NUWO,34.7791957,-120.5058248,30,"N VAFB, San Antonio Ck nr Grant x Richmond Rds",53,14-Jun-2008,"Holmgren, M.",Juvenile Independent,apparently independent juv,,,SA 70,Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2336,Red-breasted Sapsucker,RBSA,34.7023188,-119.6524504,100,Big Pine Mtn,1960,14-Jun-2008,"Lentz, J.",Delivering Food to Nest or Cavity,adults carrying food into nest cavity,,,"rd to summit from Big Pine Rd. With Kisner, D.; Kisner, J.",Big Pine Mtn 13-15 June 2008.pdf,,,#REF!,
2337,Red-winged Blackbird,RWBL,34.7779302,-120.5034593,30,"N VAFB, San Antonio Ck nr Hwy 1",56,14-Jun-2008,"Holmgren, M.",Fledgling under Parental Care,fledgling under parental care,,,SA 71,Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2338,Red-winged Blackbird,RWBL,34.77754,-120.5005008,30,"N VAFB, San Antonio Ck nr Hwy 1",62,14-Jun-2008,"Holmgren, M.",Fledgling under Parental Care,4+ juvs with several ads,,,SA 72,Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2339,Song Sparrow,SOSP,34.77795,-120.5034593,30,"N VAFB, San Antonio Ck nr Hwy 1",56,14-Jun-2008,"Holmgren, M.",Cavity Nester Attending Cavity,ad trying to get to nest or fledgling,,,SA 71,Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2340,White-crowned Sparrow,WCSP,34.7872,-120.60537,30,"N VAFB, San Antonio Creek",13,28-May-2008,"Holmgren, M.",Juvenile Independent,apparently independent juv,,," nr Southern Pacific Railroad, SA 28",Lower San Antonio Creek 28 May 08.pdf,,,#REF!,
2341,Wilson's Warbler,WIWA,34.7745946,-120.5648397,10,"N VAFB, San Antonio Creek",17,14-Jun-2008,"Compton, D.",Fledgling Begging,2 begging fledglings under parental care,,," between El Rancho and Lompoc-Casmalia Rds, SA 45, 15m SW",Upstream of Lower San Antonio pts 36 to 46 14  June 08.pdf,,,#REF!,
2342,Wilson's Warbler,WIWA,34.77797,-120.5034593,30,"N VAFB, San Antonio Ck nr Hwy 1",56,14-Jun-2008,"Holmgren, M.",Juvenile Independent,independent juv,,,SA 71,Incised SA Ck 61-72 14 June 08.pdf,,,#REF!,
2343,White-headed Woodpecker,WHWO,34.6983158,-119.6404474,600,Big Pine Mtn Rd,1895,15-Jun-2008,"Lentz, J.",Fledgling under Parental Care,juv with ad,,,"With Kisner, D.; Kisner, J.",Lentz Big Pine Mtn notes 2008,,,#REF!,
2344,Gadwall,GADW,34.42091,-119.8487639,15,"Goleta Slough, Area A",2,17-Jun-2008,"Sanchez, F.",No suitable category,half-grown duckling,,,See also observation fo 25 Jun 08,observer,,,#REF!,
2345,Lesser Goldfinch,LEGO,34.4078208,-119.4627511,10,"Carpinteria, Gobernador Cyn",112,17-Jun-2008,"Lentz, J.",Nest Building,pr building nearly completed nest,,,,observer,,,#REF!,
2346,Pied-billed Grebe,PBGR,34.4209524,-119.8487639,15,"Goleta Slough, Area K",2,17-Jun-2008,"Sanchez, F.",No suitable category,chick,,,,observer,,,#REF!,
2347,Purple Finch,PUFI,34.40778,-119.4627511,100,"Carpinteria, Gobernador Cyn",112,17-Jun-2008,"Lentz, J.",Feeding Fledgling,Female feeding juv,,,,observer,,,#REF!,
2350,American Coot,AMCO,34.57736,-119.9292164,200,"Cachuma Lake, Santa Cruz Bay",231,22-Jun-2008,"Kelly, M.",Fledgling under Parental Care,4 broods of at least 15 chicks,,,,observer,,,#REF!,
2352,Pied-billed Grebe,PBGR,34.5774,-119.9292164,200,"Cachuma Lake, Santa Cruz Bay",231,22-Jun-2008,"Kelly, M.",Fledgling under Parental Care,1 brood,,,,observer,,,#REF!,
2353,Pied-billed Grebe,PBGR,34.57744,-119.9292164,200,"Cachuma Lake, Santa Cruz Bay",231,22-Jun-2008,"Kelly, M.",Nest in Use (clarify),bird on nest,,,,observer,,,#REF!,
2354,Ruddy Duck,RUDU,34.57748,-119.9292164,200,"Cachuma Lake, Santa Cruz Bay",231,22-Jun-2008,"Kelly, M.",Family Group in Close Association,2 broods of young totalling 16 chicks,,,see also 8 Jun 08 observation,observer,,,#REF!,
2355,Canada Goose,CANG,34.57752,-119.9292164,200,"Cachuma Lake, Santa Cruz Bay",231,24-Jun-2008,"Kelly, M.",Fledgling under Parental Care,2 adults with 4 fairly large fuzzy goslings,,,,observer,,,#REF!,
2356,Spotted Towhee,SPTO,34.7563886,-120.6119068,40,"N VAFB, SLC2",64,24-Jun-2008,"Chavez, J.",Fledgling under Parental Care,fledgling seen under parental care,Arroyo Willow,,"off Tangair Rd, nr SLC-2. Recently fledged juvenile seen with parent birds",observer,,,#REF!,
2357,Gadwall,GADW,34.9501062,-120.50366,300,Santa Maria Wastewater Treatment Plant,43,25-Jun-2008,"Brown, M.",Fledgling under Parental Care,ad Female with 4 ducklings,,,See also observation for 1 Aug 08,observer,,,#REF!,
2358,Gadwall,GADW,34.42099,-119.8487639,15,"Goleta Slough, Area A",2,25-Jun-2008,"Sanchez, F.",Fledgling under Parental Care,6 half-grown ducklings with ad,,,See also observation for 17 Jun 08,observer,,,#REF!,
2359,Green Heron,GRHE,34.4421588,-119.8808524,90,"Goleta, Glen Annie Golf Course",43,26-Jun-2008,"Collins, P.",Adult at Nest (clarify),"2 adults at nest, 1 sometimes possibly incubating",,,,observer,,,#REF!,
2360,Pied-billed Grebe,PBGR,34.4421588,-119.8808524,90,"Goleta, Glen Annie Golf Course",43,26-Jun-2008,"Collins, P.",Nestling in Nest,ad with 5 recently hatched young and 1 unhatched egg,,,,observer,,,#REF!,
2361,California Quail,CAQU,34.7544467,-120.588861,40,"N VAFB, Cross Rd nr VAFB airport runway",83,27-Jun-2008,"Chavez, J.",Fledgling under Parental Care,juv seen with presumed parent,,,,observer,,,#REF!,
2362,American Robin,AMRO,34.4562238,-119.6535082,75,"Montecito, Cold Springs trailhead",242,28-Jun-2008,"Lentz, J.",Nestling in Nest,pr feeding nestlings,sycamore,,"With Harding, M.",observer,,,#REF!,
2363,Western Wood-Pewee,WEWP,34.4562234,-119.6535084,75,"Montecito, Cold Springs trailhead",242,28-Jun-2008,"Lentz, J.",Nestling in Nest,pr feeding large nestlings,sycamore,,"With Harding, M.",observer,,,#REF!,
2364,Western Kingbird,WEKI,34.44288,-119.84737,250,"Goleta, Lake Los Carneros",20,30-Jun-2008,"Lewis, A.",Feeding Fledgling,pr feeding 3 fledglings. ,,,conflicting info whether this was NW or NE of lake. One of several photos showing Pacific Tree Frog being fed.,observer,https://goo.gl/S6urKX,https://goo.gl/S6urKX,#REF!,
2365,Bullock's Oriole,BUOR,34.41165,-119.87656,30,"Goleta, Devereux Slough, South Finger",8,30-Jun-2008,"Compton, D.",Fledgling Begging,family group--pair with 3 begging fledglings,,,,observer,,,#REF!,
2366,Canada Goose,CANG,34.4228865,-119.8314791,0,Goleta Sanitary District Plant,4,30-Jun-2008,"Compton, D.",Nestling in Nest,"small, fuzzy gosling with adults",,,,observer,,,#REF!,
2367,Gadwall,GADW,34.4111879,-119.8777119,0,"Goleta, COPR, Devereux Slough",2,30-Jun-2008,"Compton, D.",Fledgling under Parental Care,Female with 8 ducklings <2 wks old,,,,observer,,,#REF!,
2368,Hooded Oriole,HOOR,34.41165,-119.87656,30,"Goleta, COPR, Devereux Slough",8,30-Jun-2008,"Compton, D.",Fledgling Begging,family group--pair with 2 begging fledglings,,,,observer,,,#REF!,
2369,Mallard,MALL,34.42292,-119.8314791,0,Goleta Sanitary District Plant,4,30-Jun-2008,"Compton, D.",Fledgling under Parental Care,Female with 8 1-2 wk old ducklings,,,,observer,,,#REF!,
2371,Mallard,MALL,34.4220154,-119.8313409,0,Goleta Sanitary District Plant,4,30-Jun-2008,"Compton, D.",Fledgling under Parental Care,Female with 4 wk old ducklings,,,,observer,,,#REF!,
2372,Mallard,MALL,34.4220554,-119.8313409,0,Goleta Sanitary District Plant,4,30-Jun-2008,"Compton, D.",Fledgling under Parental Care,Female with 4 <1 week old ducklings,,,,observer,,,#REF!,
2373,Western Kingbird,WEKI,34.443035,-119.8531153,10,"Goleta, Lake Los Carneros",21,30-Jun-2008,"Caves, E.",Nestling in Nest,"nest with 3 nestlings. On 2 July 2008, Compton saw nest with 3 nestlings, mostly in juv plumage, but with downy feathers on head (could not see wings well, or tails at all). On 4 July 2008, Lewis saw 3 fledglings being fed by pr; 1st day known out of nest.  On 12 July 2008, Compton saw 3 fledglings being fed by pair.",tree,3,"See also 2, 12 Jul 08 observations",observer,,,#REF!,
2375,Common Yellowthroat,COYE,34.4258367,-119.8465038,30,"Goleta Slough, Area D",1,3-Jul-2008,"Compton, D.",Carrying Fecal Sac,"ad male carrying fecal sac, then carrying food",,,,observer,,,#REF!,
2376,Northern Mockingbird,NOMO,34.4158791,-119.8397812,30,"Goleta, UCSB, nr E Campus entrance",15,3-Jul-2008,"Compton, D.",Carrying Food,food carry,,,,observer,,,#REF!,
2378,California Scrub-Jay,CASJ,34.4586913,-119.7661724,30,"Santa Barbara vicinity, Via Gaitero",141,4-Jul-2008,"Compton, D.",Carrying Food,food carry,,,,observer,,,#REF!,
2379,Common Yellowthroat,COYE,34.4329228,-119.9156639,10,"Ellwood, Haskell's Beach",8,7-Jul-2008,"Compton, D.",Fledgling Begging,begging fledgling under care of ad,,,,observer,,,#REF!,
2380,Pied-billed Grebe,PBGR,34.44063,-119.84905,60,"Goleta, Lake Los Carneros",22,7-Jul-2008,"Lewis, A.",Fledgling under Parental Care,"Adult with 3 young.  Compton records for 12 July (""3 fairly large young begging from ad not attempting to find them food"") and 19 July 2008 (""2 large young begging from ad not attempting to find them food"") document the same event.",,,"With Bush, M, Miller, J.  See also observations from 12, 19 Jul 08",observer,,,#REF!,
2382,Black Phoebe,BLPH,34.4244521,-119.8502207,30,"Goleta Slough, Tecolotito Ck",2,9-Jul-2008,"Compton, D.",Fledgling Begging,2 begging juvs under care of ad,,,,Goleta Slough tidal study notes,,,#REF!,
2383,Common Yellowthroat,COYE,34.4247831,-119.8511022,20,"Goleta Slough, Area G",2,9-Jul-2008,"Compton, D.",Fledgling Begging,begging fledgling under care of male,,,,Goleta Slough tidal study notes,,,#REF!,
2384,Mallard,MALL,34.4210819,-119.8501715,0,"Goleta Slough, Area K",3,9-Jul-2008,"Sanchez, F.",Fledgling under Parental Care,previously undetected brood of small ducklings,,,,observer,,,#REF!,
2385,Northern Mockingbird,NOMO,34.4246945,-119.8510339,20,"Goleta Slough, Area E/F",2,9-Jul-2008,"Compton, D.",Nest Building,pr building nest,Big Saltbush,,,Goleta Slough tidal study notes,,,#REF!,
2386,Black Phoebe,BLPH,34.44997,-119.7582677,20,"Santa Barbara, nr Cieneguitas x Foothill",64,10-Jul-2008,"Compton, D.",Feeding Fledgling,ad feeding 2 begging fledglings,,,probably a second brood of pr involved in 21 May 2008 observation,observer,,,#REF!,
2387,American Coot,AMCO,34.42112,-119.8501715,0,"Goleta Slough, Area K",3,12-Jul-2008,"Compton, D.",Juvenile Independent,2 large gray juvs,,,,observer,,,#REF!,
2388,American Robin,AMRO,34.4428599,-119.8528918,30,"Goleta, Lake Los Carneros",20,12-Jul-2008,"Keefe, H.",Juvenile Independent,independent juv,,,"With Compton, D.",observer,,,#REF!,
2389,California Towhee,CALT,34.4433319,-119.8512104,12,"Goleta, Lake Los Carneros",22,12-Jul-2008,"Compton, D.",Carrying Food,ad carrying food; earlier begging fledgling seen under care of ad in same location,,,ad still tending young on 19 Jul 08,observer,,,#REF!,
2391,Western Bluebird,WEBL,34.4201414,-119.8499111,30,"Goleta, UCSB, Environmental Health and Safety swale",12,12-Jul-2008,"Keefe, H.",Juvenile Independent,2 possibly independent juvs,,,"With Compton, D.",observer,,,#REF!,
2393,House Sparrow,HOSP,34.4499114,-119.75822,20,"Santa Barbara, nr Cieneguitas x Foothill",64,15-Jul-2008,"Compton, D.",Fledgling Begging,persistently begging juv under parental care,,,,observer,,,#REF!,
2394,Cliff Swallow,CLSW,34.4503565,-119.7592377,10,"Santa Barbara, nr Cieneguitas x Foothill",64,16-Jul-2008,"Compton, D.",Nestling in Nest,1 of 2 apparently occupied nests has 1+ large nestling,building,6,nests spread around several buildings apartment complex,observer,,,#REF!,
2395,Cliff Swallow,CLSW,34.45011,-119.7582129,500,"Santa Barbara, nr Cieneguitas x Foothill",64,16-Jul-2008,"Compton, D.",Nestling in Nest,1 of 2 apparently occupied nests has 1+ large nestling,building,6,nests spread around several buildings apartment complex; see also entry for 1 Jun 2008 at these coordinates,observer,,,#REF!,
2396,Cliff Swallow,CLSW,34.4506134,-119.7578424,10,"Santa Barbara, nr Cieneguitas x Foothill",65,16-Jul-2008,"Compton, D.",Nestling in Nest,"1 of 5 nests has 1+ large nestlings; 1 has male House Sparrow in entrance, with Female nearby",building,4,nests spread around several buildings apartment complex,observer,,,#REF!,
2397,Killdeer,KILL,34.424513,-119.8507014,5,"Goleta Slough, Tecolotito Ck",1,16-Jul-2008,"Compton, D.",Fledgling under Parental Care,"chick approximately 2 wks old, with ad",,,,observer,,,#REF!,
2398,Lesser Goldfinch,LEGO,34.7511132,-120.6127468,40,"N VAFB, SLC2",68,16-Jul-2008,"Chavez, J.",Nestling in Nest,nest with young,Blue Gum Eucalyptus,12,"off Tangair Rd, nr SLC-2. Unable to see nest, but young heard",observer,,,#REF!,
2399,Northern Mockingbird,NOMO,34.4261254,-119.8484282,4,"Goleta Slough, Area E/F",1,16-Jul-2008,"Compton, D.",Nestling in Nest,"nest with 3 begging nestlings, developing juv plumage, rectrices erupting, eyes completely open--probably 7-10 days old. On 24 July 2008, Compton saw ""streaky, short-tailed fledgling begging and under care of ad; also seen flying"".  On 30 July 2008, Compton saw ""2 begging fledglings being fed by ads; 1 fledgling with short tail seen"".",Big Saltbush,1,"See also observation for 24, 30 Jul 08",observer,,,#REF!,
2400,Western Bluebird,WEBL,34.7552764,-120.6135773,40,"N VAFB, Tangair Rd x Spur Rd",68,16-Jul-2008,"Chavez, J.",Fledgling under Parental Care,juv seen with presumed parent,,,,observer,,,#REF!,
2401,Killdeer,KILL,34.4285945,-119.8581179,75,"Goleta, Santa Barbara Municipal Airport",3,18-Jul-2008,"Compton, D.",Fledgling under Parental Care,"3 chicks approximately 2 wks old, with ad",,,,observer,,,#REF!,
2402,Pied-billed Grebe,PBGR,34.5982255,-119.959258,500,"Cachuma Lake, Johnson Bay",233,18-Jul-2008,"Kelly, M.",No suitable category,3 chicks,,,,observer,,,#REF!,
2403,American Robin,AMRO,34.443323,-119.851591,50,"Goleta, Lake Los Carneros",23,19-Jul-2008,"Compton, D.",Nestling in Nest,"nest with 1+ nestlings, ad brooding, 2nd ad bringing food (earthworms)",,6,,observer,,,#REF!,
2404,California Towhee,CALT,34.440718,-119.8504252,50,"Goleta, Lake Los Carneros",16,19-Jul-2008,"Compton, D.",Fledgling Begging,begging fledgling under care of ad,,,,observer,,,#REF!,
2406,House Finch,HOFI,34.45856,-119.8092942,50,"Goleta, San Jose Ck",35,20-Jul-2008,"Compton, D.",Fledgling Begging,persistently begging fledgling apparently under parental care (no feeding witnessed),,,nr N Patterson Ave,observer,,,#REF!,
2407,Yellow Warbler,YEWA,34.4584825,-119.8092942,50,"Goleta, San Jose Ck",35,20-Jul-2008,"Compton, D.",Delivering Food to Nest or Cavity,pr making regular food deliveries to begging sound consistent with this species,,,nr N Patterson Ave,observer,,,#REF!,
2408,Common Yellowthroat,COYE,34.4245009,-119.8508315,15,"Goleta Slough, Tecolotito Ck",1,24-Jul-2008,"Compton, D.",Fledgling Begging,persistent begging heard,,,,Goleta Slough tidal study notes,,,#REF!,
2410,Song Sparrow,SOSP,34.424727,-119.8511873,20,"Goleta Slough, Area G",2,24-Jul-2008,"Compton, D.",Fledgling under Parental Care,"mobile fledgling, heard only, moving with agitated ad (chip, ticking sound, ad seen)",,,,Goleta Slough tidal study notes,,,#REF!,
2411,Brown-headed Cowbird,BHCO,34.41341,-119.88144,20,"Goleta, COPR, Dune Pond",4,26-Jul-2008,"Compton, D.",Host - Brood Parasite Interaction,begging juv BHCO under care of ad male Common Yellowthroat,,,See also observation for COYE,observer,,,#REF!,
2412,Brown-headed Cowbird,BHCO,34.41746,-119.8734,10,"Goleta, COPR, Devereux Slough",2,26-Jul-2008,"Compton, D.",Host - Brood Parasite Interaction,begging juv BHCO under care of ad Female Common Yellowthroat,,,See also observation for COYE,observer,,,#REF!,
2413,Common Yellowthroat,COYE,34.41345,-119.88141,20,"Goleta, COPR, Dune Pond",4,26-Jul-2008,"Compton, D.",Fledgling Begging,begging juv Brown-headed Cowbird under care of ad male COYE,,,See also observation for BHCO,observer,,,#REF!,
2414,Common Yellowthroat,COYE,34.4175,-119.87343,10,"Goleta, COPR, Devereux Slough",2,26-Jul-2008,"Compton, D.",Fledgling Begging,begging juv Brown-headed Cowbird under care of ad Female COYE,,,See also observation for BHCO,observer,,,#REF!,
2415,Black-necked Stilt,BNST,34.4242128,-119.8318175,0,Goleta Sanitary District Plant,5,30-Jul-2008,"Compton, D.",No suitable category,2 half-size chicks,,,"See earlier observations for this species, year, and location",observer,,,#REF!,
2417,Great Egret,GREG,34.55631,-119.90171,90,"Cachuma Lake, east end",242,31-Jul-2008,"Ballard, L.",Nestling in Nest,nest with two nestlings,,,"with Mason, L.",observer,,,#REF!,
2418,Lesser Goldfinch,LEGO,34.50085,-119.82514,150,"Santa Ynez Mtns, 5797 West Camino Cielo",678,31-Jul-2008,"Holmgren, M.",Feeding Fledgling,ad feeding fledgling. ,,,"The fledgling has a characteristic young vocalization, a two-note thin 'tee-too'",Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
2419,Gadwall,GADW,34.9501062,-120.5036889,300,Santa Maria Wastewater Treatment Plant,43,1-Aug-2008,"Fritz, W.",Fledgling under Parental Care,ad Female with 4 ducklings,,,"With Hollingworth, C.",observer,,,#REF!,
2420,Northern Mockingbird,NOMO,34.4205511,-119.8388951,100,"Goleta Slouth, near Basin A",1,1-Aug-2008,"Compton, D.",Fledgling under Parental Care,"small fledgling/nestling, tail < 1/2 in, less than full size, sitting in Atriplex lentiformis, motionless and approachable to w/in <1 meter, with agitated ad nearby",Big Saltbush,,,Goleta Slough tidal study notes,,,#REF!,
2421,Cliff Swallow,CLSW,34.4497662,-119.7586306,40,"Santa Barbara, nr Cieneguitas x Foothill",64,8-Aug-2008,"Compton, D.",Fledgling Begging,"adult sanitizing nest from inside, while nestlings heard begging",,,,observer,,,#REF!,
2422,Pied-billed Grebe,PBGR,34.5774439,-119.92917,200,"Cachuma Lake, Santa Cruz Bay",231,10-Aug-2008,"Kelly, M.",Fledgling under Parental Care,adult with 2 tiny chicks,,,,observer,,,#REF!,
2423,Acorn Woodpecker,ACWO,34.50046,-119.82553,25,"Santa Ynez Mtns, Windermere",683,13-Aug-2008,"Holmgren, M.",Nestling in Nest,food carries and sounds of nestlings,Coast Live Oak,, property near 5797 West Camino Cielo. For a week hearing sounds of baby Acorn Woodpecker. Loud and close today.  2 food deliveries to cavity used in past in tree close to my kitchen.,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
2424,American Goldfinch,AMGO,34.3924558,-119.5142842,30,"Carpinteria Ck, downstream of Carpinteria Ave",6,16-Aug-2008,"Compton, D.",Feeding Fledgling,ad feeding fledgling,,,,observer,,,#REF!,
2425,Pacific-slope Flycatcher,PSFL,34.9040574,-120.4360713,150,"Santa Maria, Waller Park",79,16-Aug-2008,"Chavez, J.",Feeding Fledgling,ad feeding juv,,,,observer,,,#REF!,
2426,Great-tailed Grackle,GTGR,34.4233655,-119.6588549,100,"Santa Barbara, Andree Clark Bird Refuge",9,17-Aug-2008,"Lentz, J.",Feeding Fledgling,ad feeding juv,,,"With Harding, M.",observer,,,#REF!,
2427,Ruddy Duck,RUDU,34.443229,-119.84985,50,"Goleta, Lake Los Carneros",14,24-Aug-2008,"Compton, D.",Fledgling under Parental Care,"ad Female with 5 ducklings, at least half the mass of an ad",,,,observer,,,#REF!,
2428,California Quail,CAQU,34.6774746,-120.5423161,400,"VAFB, Santa Ynez River nr Union Sugar",10,7-Sep-2008,"Compton, D.",Fledgling under Parental Care,ad with 6+ chicks half ad height,,,"With Holmgren, M.",SYRE Animal Records 7 September 2008.pdf,,,#REF!,
2429,Acorn Woodpecker,ACWO,34.43788,-119.70478,50,"Santa Barbara, Orpet Park",133,21-Sep-2008,"Holmgren, M.",Delivering Food to Nest or Cavity,Pr adults carrying food 6 times to N-facing cavity in Island Ironwood tree that had approx 9 cavity entrances on the N-facing side alone. Nestl seen inside cavity.,Island Ironwood,8,Small mast offered to nestlings and one flying insect,,,,#REF!,
2430,Scaly-breasted Munia,SBMU,34.437736,-119.835662,15,"Goleta, Twin Lakes Golf Course",6,3-Jan-2009,"Fritz, W.",Carrying Nesting Material,"2+ adults and 2 imms at large nest structure, with adults carrying nesting material into nest",pine,,"With Hollingworth, C.",observer,,,#REF!,
2431,Anna's Hummingbird,ANHU,34.4191895,-119.6481975,50,"Montecito, Butterfly Lane",15,19-Jan-2009,"Marantz, C.",Egg in Nest,Female flushed from nest with 2 eggs,Coast Live Oak,2,,observer,,,#REF!,
2432,Western Screech-Owl,WESO,34.43997,-119.6321985,50,"Montecito, nr San Ysidro x E Valley",71,28-Jan-2009,"Mars, D.",Cavity Nester Attending Cavity,First date on which bird occupying nest box,,,,observer,,,#REF!,
2433,Anna's Hummingbird,ANHU,34.43548,-119.88289,50,"Goleta, 7234 Tuolumne Dr",27,7-Feb-2009,"Bleck, J.",Adult at Nest (clarify),"MONITORED NEST FROM FINDING EGGS ON 7 fEB, Tracked f on nest throughout longer than usual inc and fledgling period.",Tibouchina heterophylla,2,,,,,#REF!,
2434,Great Blue Heron,GBHE,34.5563146,-119.9017164,90,"Cachuma Lake, east end",242,8-Feb-2009,"Kelly, M.",Adult at Nest (clarify),7 at nests,sycamore,,,observer,,,#REF!,
2435,Great Blue Heron,GBHE,34.57758,-119.926677,25,"Cachuma Lake, Santa Cruz Bay",245,8-Feb-2009,"Kelly, M.",Adult at Nest (clarify),"5 on nests. On 19 April 2009, Kelly saw 2 of 7 nest with small nestlings. On 30 May 2009, Kelly saw 7 nestlings observed in 7 nests.",Coast Live Oak,,,observer,,,#REF!,
2436,Great Blue Heron,GBHE,34.41835,-119.82841,50,"Goleta, SoCal Gas Plant, nr Goleta Slough mouth",3,21-Feb-2009,"Holmgren, M.",Nest in Use (clarify),"14 occupied nests. Update from Compton with Hodgson, J.: 11 April 2009, 2 nests with 1+ young nestling; 2 of at least 9 active nests and 2 with nestlings.",Eucalyptus,,,GB Heron Rookery notes.xls,,,#REF!,
2437,White-tailed Kite,WTKI,34.4395335,-119.848681,50,"Goleta, Lake Los Carneros",10,22-Feb-2009,"Lentz, J.",Copulation,copulation,,,,observer,,,#REF!,
2438,American Crow,AMCR,34.4497,-119.7582477,10,"Santa Barbara, nr Cieneguitas x Foothill",64,3-Mar-2009,"Compton, D.",Nest Building,Pair building nest,pine,15,In neighborhood and nr small creek lined with oaks and sycamores,observer,,,#REF!,
2439,Black-crowned Night-Heron,BCNH,34.40817,-119.69352,50,"Santa Barbara, Cabrillo X Castillo",4,4-Mar-2009,"Ballard, L.",Adult at Nest (clarify),"6 active nests. On 26 April 2009, Compton saw adult incubating/brooding. Also, he reported ""34 nests in colony of Ficus trees nr harbor observed on this date with Keefe, H.  A range of nest stages observed including incubating, brooding, nestling, building.""",Weeping Fig,,,observer,,,#REF!,
2440,Cooper's Hawk,COHA,34.4387239,-119.883959,50,"Goleta, Bella Vista Open Space",34,13-Mar-2009,"Lentz, J.",Nest Building,Pair; Female building nest,,,"With Bridgers, K.",observer,,,#REF!,
2441,Red-tailed Hawk,RTHA,34.5924947,-119.9536086,300,"Cachuma Lake, Little Cachuma Bay",234,14-Mar-2009,"Kelly, M.",Fledgling out of Nest--Brancher,1 in nest,oak,,"nest site from a previous yr; see also 7 Apr (3 nestlings first visible, by M. Kelly), 19 April (3 nestlings able to peer over side of nest, M. Kelly), 25 April (pr nesting), 16 May 2009 (3 fledglings around nest).",Cachuma Lake quarterly report,,,#REF!,
2442,American Crow,AMCR,34.4525886,-119.7844532,20,"Goleta, Tucker's Grove County Park",62,15-Mar-2009,"Compton, D.",Nest Building,"Pair building nest, carrying leaves to more or less complete structure",Coast Live Oak,8,,observer,,,#REF!,
2443,Oak Titmouse,OATI,34.4527418,-119.7848501,10,"Goleta, Tucker's Grove County Park",60,15-Mar-2009,"Compton, D.",Carrying Nesting Material,gathering fluffy nesting material,,,,observer,,,#REF!,
2445,House Wren,HOWR,34.441004,-119.8509505,75,"Goleta, Lake Los Carneros",18,16-Mar-2009,"Lentz, J.",Carrying Nesting Material,pr carrying nest material into cavity,pine,,,observer,,,#REF!,
2446,Canada Goose,CANG,34.4227224,-119.8316,20,Goleta Sanitary District Plant,4,17-Mar-2009,"Braunger, K.",Adult at Nest (clarify),"pair, one on nest",berm,0,site of nest in prev yr,observer,,,#REF!,
2447,Barn Owl,BNOW,34.4248273,-119.7141919,75,"Santa Barbara, Valerio x Bath",33,24-Mar-2009,"Benmergui, C.",Nestling in Nest,fuzzy nestling recovered on ground and given to rehabber,,,"With Mora, V.",observer,,,#REF!,
2448,Oak Titmouse,OATI,34.4395493,-119.8487794,75,"Goleta, Lake Los Carneros",10,24-Mar-2009,"Lentz, J.",Delivering Food to Nest or Cavity,food carry to nest hole; nestlings heard begging,Coast Live Oak,,,observer,,,#REF!,
2449,Anna's Hummingbird,ANHU,34.44316,-119.85073,100,"Goleta, Lake Los Carneros",22,26-Mar-2009,"Lewis, A.",Nestling in Nest,2 nestlings,,,"With Bush, M, Miller, J.  See also 29 March 2009 observation (2 nestlings).",observer,,,#REF!,
2450,Cooper's Hawk,COHA,34.44314,-119.85017,40,"Goleta, Lake Los Carneros",17,26-Mar-2009,"Lewis, A.",Adult at Nest (clarify),"occupied nest. On 25 May 2009, A. Lewis reported: ""occupied nest"". On 5 June 2009, B. Criss reported: ""nestling"". On 7 June 2009, Levasheff took photo. On 6 July 2009, L. Muraoka reported: ""3 nestlings"".",Coast Live Oak,,"With Bush, M, Miller, J.  See other entries for this year and location. Photo taken by Levasheff, D. on 7 June 2009.",observer,https://tinyurl.com/rjhx42h,https://tinyurl.com/rjhx42h,#REF!,
